,tweet,bias
3930,It's 2020 — it’s unacceptable that women still don’t get equal pay for equal work. Let’s close the gender pay gap and end #EqualPayDay once and for all. https://t.co/GH6rASk0wH,0
12841,"Apple prices may increase because of the massive Tariffs we may be imposing on China - but there is an easy solution where there would be ZERO tax, and indeed a tax incentive. Make your products in the United States instead of China. Start building new plants now. Exciting! # MAGA",1
8982,"After two days of very productive talks, Prime Minister Abe is heading back to Japan. L",1
12585,Great @ Cabinet meeting today at the @ WhiteHouse!pic.twitter.com/RwOhQF9SEv,1
2889,"Donald Trump is the most corrupt president in modern American history. He has to go. If you agree, chip in $5 to help us make him a one-term president: https://t.co/uUZdOjfTAk",0
14695,Why should I be defending a fraudulent Russian Witch Hunt. It’s about time the perpetrators of this fraud on me and the American People start defending their dishonest and treasonous acts. How and why did this terrible event begin? Never Forget!,1
1919,"Biden will stand up to the abuse of power by polluters who disproportionately harm communities of color and low-income communities. He’ll work to ensure that communities across the country from Flint, MI to Harlan, KY to the NH Seacoast have access to clean, safe drinking water.",0
13539,"There are a lot of CRIMINALS in the Caravan. We will stop them. Catch and Detain! Judicial Activism, by people who know nothing about security and the safety of our citizens, is putting our country in great danger. Not good!",1
13950,"Our Country is doing so well in so many ways. Great jobs numbers, with a record setting December. We are rebuilding our military. Vets finally have Choice & Accountability. Economy & GDP are strong. Tax & Reg cuts historic. Trade deals great. But we MUST fix our Southern Border!",1
13218,Secretary of State Mike Pompeo was never given or shown a Transcript or Video of the Saudi Consulate event. FAKE NEWS!,1
13682,"....left and right, he then woke up from his dream screaming that HE LIED. Next time I go to Vietnam I will ask “the Dick” to travel with me!",1
5054,"The leaders who ran in the 2020 primary with me represent the best of America. They made me a better candidate, and they make us a better nation. 

I am proud to have their support. Together, we will defeat Donald Trump. #DemConvention https://t.co/BOztd8iR0b",0
3731,"Thank you, Mississippi! https://t.co/BWO44uWIo9",0
1618,"We know in our bones this election is different. We have a president who promotes hate and division. Encourages white supremacists. Embraces dictators. And damages our alliances internationally.

Our politics traffics in division. And our president is the divider in chief.",0
13475,"The Florida Election should be called in favor of Rick Scott and Ron DeSantis in that large numbers of new ballots showed up out of nowhere, and many ballots are missing or forged. An honest vote count is no longer possible-ballots massively infected. Must go with Election Night!",1
18231,A PERFECT phone call. “Can you do us (not me. Us is referring to our Country) a favor.” Then go on to talk about “Country” and “U.S. Attorney General.” The Impeachment Hoax is just a continuation of the Witch Hunt which has been going on for 3 years. We will win! # MAGAKAG #2020,1
5092,"Hillary: tonight, I’m reminded of one of your favorite sayings — rooted in the faith we both share: “Do all the good you can, for all the people you can, in all the ways you can, for as long as you can.”

Thanks for always living by that, and reminding us to do the same.",0
11195,"Whether we are Republican or Democrat, we must now focus on strengthening Background Checks!",1
644,“Let's show Barack what kind of grassroots organization he's got behind him—one that's ready for whatever comes ahead.” http://t.co/StDO9nR3,0
13074,"This is now the 7th. time the FBI has investigated Judge Kavanaugh. If we made it 100, it would still not be good enough for the Obstructionist Democrats.",1
16602,"Alabama was going to be hit or grazed, and then Hurricane Dorian took a different path (up along the East Coast). The Fake News knows this very well. That’s why they’re the Fake News!",1
12303,“Trump recognized Russian Meddling MANY TIMES”pic.twitter.com/T8MERS93wI,1
14972,"I am continuing to monitor the censorship of AMERICAN CITIZENS on social media platforms. This is the United States of America — and we have what’s known as FREEDOM OF SPEECH! We are monitoring and watching, closely!!",1
1846,"The black agenda is America’s agenda. This morning, I discussed my plans for communities of color on the @TJMShow.

https://t.co/Q07kNyGp2J",0
720,"“Last night, we saw a commander in chief who is in command of the issues.”—VP Biden in Dayton, Ohio",0
7436,People believe CNN these days almost as little as they believe Hillary....that's really saying something!,1
13728,Secretary of the Interior @ RyanZinke will be leaving the Administration at the end of the year after having served for a period of almost two years. Ryan has accomplished much during his tenure and I want to thank him for his service to our Nation.......,1
7560,Thank you Governor @ ScottWalker & @ GOP Chairman @ Reince Priebus. # MakeAmericaGreatAgain # ImWithYouhttps://amp.twimg.com/v/f7054104-4965-4a99-934f-a0cbed956ee3 …,1
12755,"Will be going to Evansville, Indiana, tonight for a big crowd rally with Mike Braun, a very successful businessman who is campaigning to be Indiana’s next U.S. Senator. He is strong on Crime & Borders, the 2nd Amendment, and loves our Military & Vets. Will be a big night!",1
12862,"The Economy is soooo good, perhaps the best in our country’s history (remember, it’s the economy stupid!), that the Democrats are flailing & lying like CRAZY! Phony books, articles and T.V. “hits” like no other pol has had to endure-and they are losing big. Very dishonest people!",1
17848,Thank you Pete. Our great warfighters must be allowed to fight. I would not have done this for Sgt. Bergdahl or Chelsea Manning!https://twitter.com/PeteHegseth/status/1195493031715184645 …,1
9564,Just out: The Obama Administration knew far in advance of November 8th about election meddling by Russia. Did nothing about it. WHY?,1
11656,"To the great people of West Virginia we have, together, a really great chance to keep making a big difference. Problem is, Don Blankenship, currently running for Senate, can’t win the General Election in your State...No way! Remember Alabama. Vote Rep. Jenkins or A.G. Morrisey!",1
12563,Scott Walker is very special and will have another great win in November. He has done a fantastic job as Governor of Wisconsin and will always have my full support and Endorsement!,1
11800,"Good news about the release of the American hostage from Venezuela. Should be landing in D.C. this evening and be in the White House, with his family, at about 7:00 P.M. The great people of Utah will be very happy!",1
16818,pic.twitter.com/o0gDblBQzI,1
11029,"Will be going to Pennsylvania today in order to give my total support to RICK SACCONE, running for Congress in a Special Election (March 13). Rick is a great guy. We need more Republicans to continue our already successful agenda!",1
10483,"JFK Files are released, long ahead of schedule!",1
14760,"....When I won the Election in 2016, the @ nytimes had to beg their fleeing subscribers for forgiveness in that they covered the Election (and me) so badly. They didn’t have a clue, it was pathetic. They even apologized to me. But now they are even worse, really corrupt reporting!",1
244,"The President’s having a birthday party in Chicago next month, and you’re invited: http://t.co/3whXojF1",0
16309,The Fake News Media HATES to see this!https://twitter.com/CLewandowski_/status/1162739060638699520 …,1
11694,"President Xi of China, and I, are working together to give massive Chinese phone company, ZTE, a way to get back into business, fast. Too many jobs in China lost. Commerce Department has been instructed to get it done!",1
7591,""" @ 55Lidsville: # TeamTrump @ KellyannePolls You need to show the crowds at the rallies use Periscope! Show HC's 139 YT viewers vs DT 38K""",1
10927,"“Some 40 U.S. companies have responded to President Trump’s tax cut and reform victory in Congress last year by handing out bonuses up to $2,000, increases in 401k matches and spending on charity, a much higher number than previously known.”http://www.washingtonexaminer.com/boom-40-companies-give-trump-tax-reform-bonuses-up-to-2000/article/2644910 …",1
16701,Greg Murphy is a big winner in North Carolina 03. Much bigger margins than originally anticipated. Congratulations Greg!,1
4183,"We owe a profound debt of gratitude to the health care workers on the front lines of this fight. I checked in with Monica, an ICU Nurse, to talk about how she's getting through this and to thank her for all she's doing: https://t.co/PLuEZWO5aQ",0
2926,"Tomorrow, we’re kicking off our eight-day, 18 county “No Malarkey” barnstorm across Iowa! I’d love to see you there. Head to https://t.co/qm53SbH51r to find an event in your community. https://t.co/YngzAn9vKZ",0
17804,"Hit New Stock Market record again yesterday, the 20th time this year, with GREAT potential for the future. USA is where the action is. Companies and jobs are coming back like never before!",1
15937,"Highly conflicted Robert Mueller should not be given another bite at the apple. In the end it will be bad for him and the phony Democrats in Congress who have done nothing but waste time on this ridiculous Witch Hunt. Result of the Mueller Report, NO COLLUSION, NO OBSTRUCTION!...",1
15310,"Sean Davis, The Federalist: “Mueller proved his entire operation was a political hit job. Still ZERO evidence of Trump-Russia Collusion, and no new evidence from Mueller.” @ TuckerCarlson @ FoxNews",1
9915,"Big day in Alabama. Vote for Luther Strange, he will be great!",1
7425,"Wow, it is unbelievable how distorted, one-sided and biased the media is against us. The failing @ nytimes is a joke. @ CNN is laughable!",1
303,VIDEO: See how Mitt Romney’s pledge to “get rid of” Planned Parenthood would impact women’s health care. http://t.co/mXSu2idl,0
15175,"Looks like Bernie Sanders is history. Sleepy Joe Biden is pulling ahead and think about it, I’m only here because of Sleepy Joe and the man who took him off the 1% trash heap, President O! China wants Sleepy Joe BADLY!",1
1993,Grateful for the hard work these folks put in every day on the ground in Iowa. #WingDing https://t.co/8jw98yBbCB,0
2654,"The Russians don't want me to be president, and Trump doesn't want me to be the nominee. But they picked a fight with the wrong guy — I’m not going anywhere.

We will make Donald Trump a one-term president. https://t.co/OrszKw9Up8",0
9613,Happy Canada Day to all of the great people of Canada and to your Prime Minister and my new found friend @ JustinTrudeau. # Canada150,1
5208,"No lies, fear-mongering, or malarkey.

Just an honest conversation about the future of our nation.

Tune in this Tuesday. https://t.co/yWc0ewazL4",0
14418,"I cannot believe the level of dishonesty in the media. It is totally out of control, but we are winning!",1
6418,"Bernie Sanders has been treated terribly by the Democrats—both with delegates & otherwise. He should show them, and run as an Independent!",1
15170,The Mainstream Media has never been as corrupt and deranged as it is today. FAKE NEWS is actually the biggest story of all and is the true ENEMY OF THE PEOPLE! That’s why they refuse to cover the REAL Russia Hoax. But the American people are wise to what is going on.....,1
9226,Things will work out fine between the U.S.A. and Russia. At the right time everyone will come to their senses & there will be lasting peace!,1
8013,Thank you South Carolina! Everyone has to get out and VOTE on 11/8/16. # MakeAmericaGreatAgain http://www.DonaldJTrump.com pic.twitter.com/sEWZGogAzr,1
2698,"The values of patriotism, friendship, and faith that Scranton instilled in me have defined my entire life — and they’re the values I’ll bring to the White House. https://t.co/Gf7kJ5E4Zs",0
1322,"Whether it is antisemitism in Pittsburgh, racism in Charlottesville, or the xenophobia and Islamophobia today in Christchurch, violent hate is on the march at home and abroad. We cannot stand by as mosques are turned into murder scenes.",0
6644,""" @ LADYJOANNE: @ megynkelly @ realDonaldTrump we need Trump more then ever Megyn. Thanks.",1
18102,"@ KimStrassel “Schiff’s surveillance (obtaining phone logs) is an unprecedented abuse of power.” To put it mildly. Also, it is illegal!",1
14933,"If the Democrats don’t give us the votes to change our weak, ineffective and dangerous Immigration Laws, we must fight hard for these votes in the 2020 Election!",1
2875,"I just stepped off the #DemDebate stage, where I laid out my bold vision for our future and what's possible if we unite this country.
 
If I made you proud tonight, can you chip in $5 to help power our campaign: https://t.co/c2tnkkgYBj",0
12050,"So sorry, people wanting to get into the already packed arena - I LOVE YOU ALL!pic.twitter.com/PFvXrsvgkA",1
8036,""" @ CharleneOsbor17: @ realDonaldTrump politicians don't count. It's the people. We are behind trump all the way to White House.""",1
15659,"I am excited to announce that @ MercedesSchlapp will soon be joining our Campaign. She feels so strongly about our Country & its future. We are setting records in so many ways, & we will keep it going. Mercedes has done a fantastic job within the Administration & I am so thankful!",1
4357,"During today’s Senate Banking Committee hearing, Secretary @StevenMnuchin1 refused to require corporations benefiting from $500 billion in CARES Act funds to keep workers on their payrolls. @EWarren asked him several times, each time he ducked and refused.",0
9274,"....the wall is not built, which it will be, the drug situation will NEVER be fixed the way it should be! # BuildTheWall",1
2791,Every worker should have the chance to join a union which bargains to ensure they get paid a living wage and have protections against sexual harassment. That's why I'm proud to stand with @McDonalds workers who are striking in Detroit and across the country today. https://t.co/r0y6uDM2na,0
1932,Mr. President — this is America. We are strong and great because of our diversity. #DemDebate https://t.co/XjveDSBJ0T,0
4361,"When we emerge from this crisis, we can’t just go back to the way things were before. We need to take this country to a place we’ve never been. Where we finally live up to our highest ideals and everyone gets a full share of the American dream.",0
18544,"Michael Goodwin, New York Post: “Trump’s peace through strength philosophy is what America needs. His (John Kerry) claim bears no relation to reality. The Agreement didn’t create opportunities for America & other signatories to confront Iran’s malign activities. It overlooked....",1
2345,"President Trump and congressional Republicans will stop at nothing to repeal Obamacare. We’ve seen how close they’ve come—just one vote away. We can’t give them another chance.

I'll protect and build on Obamacare to ensure everyone has access to quality, affordable health care. https://t.co/uI8eOeFLpX",0
11571,"Hard to believe Obstructionists May vote against Mike Pompeo for Secretary of State. The Dems will not approve hundreds of good people, including the Ambassador to Germany. They are maxing out the time on approval process for all, never happened before. Need more Republicans!",1
16221,"Maggie Haberman of the Failing @ nytimes reported that I was annoyed by the lack of cameras inside the hospitals in Dayton & El Paso, when in fact I was the one who stated, very strongly, that I didn’t want the Fake News inside & told my people NOT to let them in. Fake reporting!",1
8628,Will be interviewed on @ FoxNews at 10:00 P.M. Enjoy!,1
15662,I will be interviewed by @ TuckerCarlson tonight at 8:00pm on @ FoxNews!,1
260,"VP: “President Obama has stood up repeatedly, publicly &amp; often alone against efforts to delegitimize Israel at the UN and around the world.”",0
15716,"Democrats must change the Loophole & Asylum Laws - but they probably won’t! They want Open Borders, which means massive crime and drugs!https://twitter.com/WhiteHouse/status/1146552901843578881 …",1
14328,"Former Senator Harry Reid (he got thrown out) is working hard to put a good spin on his failed career. He led through lies and deception, only to be replaced by another beauty, Cryin’ Chuck Schumer. Some things just never change!",1
625,Straight talk on taxes from VP Biden: http://t.co/FRSTOJze,0
8575,'Donald Trump is already helping the working class'http://nypost.com/2016/11/30/donald-trump-is-already-helping-the-working-class/ …,1
13729,.......The Trump Administration will be announcing the new Secretary of the Interior next week.,1
2042,"Extremism is on the rise in America, fueled by a president who has fanned the flames of division and emboldened white nationalists and Neo-Nazis with messages of support.

This is a battle for the soul of our nation, and it's on all of us to act. https://t.co/UNQI2FX69Z",0
16246,"ALL THE NEWS THAT’S NOT FIT TO PRINT! “The New York Times is no longer the paper we grew up with. It is no longer a news organization. It is now an agenda driven organization out to change the Country (for the worse!).” Michael Goodwin, Highly Respected New York Post Columnist.",1
7402,"Hillary can never win over Bernie supporters. Her foreign wars, NAFTA/TPP support & Wall Street ties are driving away millions of votes.",1
838,RT if you agree with the Vice President this #NationalWomensHealthWeek http://t.co/SINIFZHBiS,0
4064,"Mayor @PeteButtigieg’s campaign had a set of “rules of the road” that helped define the character of his campaign and his supporters. I think it’s a good idea, and one I’d like @TeamJoe to adopt.",0
3229,"I'm more optimistic about our future today than I was when I got elected to the Senate as a 29-year-old. If we come together and unite this country, there's not a single thing we can't do. https://t.co/LGNHTgei6W",0
15482,Thank you Senator @ MarshaBlackburn for fighting obstructionist Democrats led by Cryin' Chuck Schumer. Democrats continue to look for a do-over on the Mueller Report and will stop at nothing to distract the American people from the great accomplishments of this Administration!,1
1507,"Today, we honor all those who answered duty’s call on June 6, 1944, not only in memorials and remembrances, but in recommitting ourselves to the urgent task of defending those values for which they fought and so many died.",0
5131,It will be the work of the next president to restore the promise of America — for everyone. That’s my commitment to you. https://t.co/UTclDfd8Jm,0
4318,"To all of our front line workers who are working day in and day out to keep our nation afloat during this crisis, thank you.",0
5779,"I often think about what it takes for a Black person to love America. That is a deep love for this country that, for far too long, has not been recognized.

It’s time we fulfilled our nation’s founding promise: equality for all. 

Here’s how we’ll do it: https://t.co/wH2hVq7UL2",0
7388,In Hillary Clinton's America - things get worse. # TrumpPence16pic.twitter.com/WdHbnhhCbW,1
6195,Congratulations to @ CNN for having the wisdom to pick TRUMP! # MakeAmericaGreatAgain # Trump2016pic.twitter.com/Up8DhQulZ4,1
9987,"Nick Adams, ""Retaking America"" ""Best things of this presidency aren't reported about. Convinced this will be perhaps best presidency ever.""",1
17570,Yesterday’s Never Trumper witness could find NO Quid Pro Quo in the Transcript of the phone call. There were many people listening to the call. How come they (including the President of Ukraine) found NOTHING wrong with it. Witch Hunt!,1
3932,"Today as we honor the life and legacy of civil rights and labor movement activist, César Chávez, we also thank the more than 2 million farmworkers who are on the frontlines, working to keep Americans fed and healthy during this pandemic. https://t.co/MNl59g81OV",0
11438,"The Caravan is largely broken up thanks to the strong immigration laws of Mexico and their willingness to use them so as not to cause a giant scene at our Border. Because of the Trump Administrations actions, Border crossings are at a still UNACCEPTABLE 46 year low. Stop drugs!",1
9810,"...Even though parts of healthcare could pass at 51, some really good things need 60. So many great future bills & budgets need 60 votes....",1
965,"""You can tell a lot about a candidate...by looking at the people who oppose her."" -VP Biden supporting @KatieMcGintyPA",0
5518,There’s no other way to put it: the President of the United States refused to disavow white supremacists on the debate stage last night. https://t.co/Q3VZTW1vUV,0
16735,"Illegal Immigration costs the USA over 300 Billion Dollars a year. There is no reason for this, and things are being set in motion to have this number come WAY DOWN. Democrats could end Loopholes and it would be a whole lot easier, and faster. But it will all happen anyway!....",1
9922,"Wow, Senator Luther Strange picked up a lot of additional support since my endorsement. Now in September runoff. Strong on Wall & Crime!",1
10787,"Fake News CNN made a vicious and purposeful mistake yesterday. They were caught red handed, just like lonely Brian Ross at ABC News (who should be immediately fired for his “mistake”). Watch to see if @ CNN fires those responsible, or was it just gross incompetence?",1
142,Massachusetts was 47th out of 50 states in job creation with Mitt Romney at the helm: http://t.co/bIQouqf0,0
16716,BIG United States Supreme Court WIN for the Border on Asylum!https://apnews.com/a817cf3affb04f3d8ad3c4940366a5fe …,1
1530,"When it comes to President Trump’s tariff war with China, one thing is clear: America’s farmers and manufacturers are getting crushed – no one knows that better than Iowa. 

To Trump, the people getting hurt are just pawns in his game. #TeamJoe",0
12246,"“Trump has been the most consequential president in history when it comes to minority employment. In June, for instance, the unemployment rate for Hispanics and Latinos 16 years and older fell to 4.6%, its lowest level ever, from 4.9% in May.”https://www.investors.com/politics/editorials/u-s-jobs-boom-colorblind/ …",1
17810,"....that the House Democrats have done since she’s become Speaker, other than chase Donald Trump.” This Impeachment Hoax is such a bad precedent and sooo bad for our Country!",1
6390,Pennsylvania: Cast your vote for Trump for POTUS & ALSO vote for the TRUMP DELEGATES in your congressional district!pic.twitter.com/1utaLLMfUa,1
13984,Democrats could solve the Shutdown in 15 minutes! Call your Dem Senator or Congresswoman/man. Tell them to get it done! Humanitarian Crisis.,1
868,Today America stands strong and proud. http://t.co/0zMR6J6O8U,0
10604,"On this wonderful Veterans Day, I want to express the incredible gratitude of the entire American Nation to our GREAT VETERANS. Thank you!pic.twitter.com/GhQbCA7yII",1
14493,"Just spoke w/ @ GovRicketts. The people of Nebraska & across the Midwest, especially the Farmers & Ranchers, are feeling the impacts from severe weather. The first responders & emergency response teams have done a great job dealing w/ record flooding, high winds, & road closures.",1
4278,"We cannot be silent in the face of rising violence against transgender people of color—like the recent tragedies in Missouri and Puerto Rico. It's our moral obligation to end this epidemic, and ensure everyone can live open and proud and free from fear. https://t.co/CPmqT4kYxe",0
16643,"Russia and Ukraine just swapped large numbers of prisoners. Very good news, perhaps a first giant step to peace. Congratulations to both countries!",1
6931,"I am watching @ FoxNews and how fairly they are treating me and my words, and @ CNN, and the total distortion of my words and what I am saying",1
688,"Dr. Jill Biden: “As a teacher, I want to make sure that we continue to invest in quality education.”",0
14014,"Just announced that Veterans unemployment has reached an 18 year low, really good news for our Vets and their families. Will soon be an all time low! Do you think the media will report on this and all of the other great economic news?",1
4380,"In the middle of this crisis, President Trump is trying to cut food assistance. It’s morally bankrupt.

We should do everything in our power to ensure no one goes hungry in America.",0
8799,Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!,1
9826,"Unless the Republican Senators are total quitters, Repeal & Replace is not dead! Demand another vote before voting on any other bill!",1
7893,"Wow, did great in the debate polls (except for @ CNN - which I don't watch). Thank you!",1
14847,Spoke to Prime Minister Ranil Wickremesinghe of Sri Lanka this morning to inform him that the United States stands by him and his country in the fight against terrorism. Also expressed condolences on behalf of myself and the People of the United States!,1
5817,"Listening to scientists is not a bad thing.

I can’t believe that has to be said.",0
15606,"It was my great honor to speak at the Faith & Freedom Coalition Conference today in Washington, D.C. Thank you! # RTM2019https://www.pscp.tv/w/b-OZ0jFvTlFsTFJub1dwUXd8MWpNSmd2ZExOUXdHTGupwW9o-0--pa2NSJPD3tB9XKTYh9HnjxNiDlV67pw7?t=1s …",1
13973,"I look forward to hosting, right out of the great State of South Carolina, the 2019 NCAA Football Champion Clemson Tigers at the White House on Monday, January 14th. What a game, what a coach, what a team!",1
12854,...its commitment to denuclearize.” @ FoxNews This is a big and very positive statement from North Korea. Thank you To Chairman Kim. We will both prove everyone wrong! There is nothing like good dialogue from two people that like each other! Much better than before I took office.,1
15181,"Landing shortly in Montoursville, Pennsylvania - see everyone shortly!pic.twitter.com/R67IxP3QPL",1
11091,"“You had Hillary Clinton and the Democratic Party try to hide the fact that they gave money to GPS Fusion to create a Dossier which was used by their allies in the Obama Administration to convince a Court misleadingly, by all accounts, to spy on the Trump Team.” Tom Fitton, JW",1
2304,"We need a president who believes in science over fiction. As president, I will fight for rigorous fuel economy standards that protect our health, our environment, and our economy.",0
11667,"Gina Haspel, my highly respected nominee to lead the CIA, is being praised for the fact that she has been, and alway will be, TOUGH ON TERROR! This is a woman who has been a leader wherever she has gone. The CIA wants her to lead them into America’s bright and glorious future!",1
6461,The economy is bad and getting worse-almost ZERO growth this quarter. Nobody can beat me on the economy (and jobs). MAKE AMERICA GREAT AGAIN,1
3674,"We need judges who will respect Roe v. Wade as the law, and we need a Congress that will protect reproductive rights. If I'm president, that leadership will start at the top.",0
15571,Thank you Jessica!pic.twitter.com/gxNRfFqZCm,1
11915,Good luck to Alice Johnson. Have a wonderful life!,1
5594,"I couldn’t let #WorldTeachersDay go by without celebrating the best teacher I know. Jilly, the way you’ve worked tirelessly and passionately for your students year after year continues to inspire me. https://t.co/rvCJHZLFvm",0
5408,"Let me be clear: The voters should pick a President, and that President should select a successor to Justice Ginsburg.",0
18256,https://www.foxbusiness.com/markets/dow-gains-10000th-point-since-trumps-election …,1
13564,Clinton Foundation donations drop 42% - which shows that they illegally played the power game. They monetized their political influence through the Foundation. “During her tenure the State Department was put in the service of the Clinton Foundation.” Andrew McCarthy,1
3704,"If you re-elect Donald Trump, he's going to cut Medicare and Social Security. I'm going to protect and expand these benefits. https://t.co/psf4xAs3YS",0
4489,"Donald Trump was warned, but he failed to act. Now more than 20 million Americans are out of a job and paying the price. It didn’t have to be this bad. https://t.co/Hut7pquZUU",0
17626,"Oh no, Beto just dropped out of race for President despite him saying he was “born for this.” I don’t think so!",1
12363,"European Union representatives told me that they would start buying soybeans from our great farmers immediately. Also, they will be buying vast amounts of LNG!",1
11301,"Spoke to Prime Minister Abe of Japan, who is very enthusiastic about talks with North Korea. Also discussing opening up Japan to much better trade with the U.S. Currently have a massive $100 Billion Trade Deficit. Not fair or sustainable. It will all work out!",1
8965,"..Ryan died on a winning mission ( according to General Mattis), not a ""failure."" Time for the U.S. to get smart and start winning again!",1
1930,"I just got off the stage where I shared my bold vision for our future built on uniting our country. Because I know if we work together, there’s nothing we can’t do.

Let's keep our momentum going. If you liked what you heard tonight, text JOE to 30330 and let's get to work. https://t.co/EDIKTYiJB1",0
13544,HAPPY THANKSGIVING TO ALL!,1
13081,"Beautiful evening in Rochester, Minnesota. VOTE, VOTE, VOTE!pic.twitter.com/SyxrxvTpZE",1
15422,"Congratulations to the 2019 Indianapolis 500 Winner @ IMS, @ SimonPagenaud and @ Team_Penske! @ IndyCarpic.twitter.com/uxhfbhJ2p0",1
11389,I am very pleased to welcome the opioid memorial to the President's Park in April. I encourage all to visit and remember those who we have lost to this deadly epidemic. We will keep fighting until we defeat the opioid crisis!https://twitter.com/whitehouse/status/978660679447130118 …,1
1319,https://t.co/SOZ9EUh854,0
16835,"Rachel Campos-Duffy has written a wonderful book for children, “Paloma Wants To Be Lady Freedom.” She and her husband, Sean Duffy, have done so much for our Country. Buy this book - great for the kids!pic.twitter.com/zCYW91OSOU",1
2606,"Once again, Putin and the Russians are interfering in the elections and trying to pick our president -- this time they're coming after me.

Chip in $5 to send the message to Putin that the American people decide elections, not him: https://t.co/6ehaYAjgxA https://t.co/o1GTKnizUY",0
11135,"Republicans want to fix DACA far more than the Democrats do. The Dems had all three branches of government back in 2008-2011, and they decided not to do anything about DACA. They only want to use it as a campaign issue. Vote Republican!",1
1359,"By making post-secondary education and training affordable to and making sure the economy works not only for folks with a four-year degree but also for those who complete on-the-job training and trade programs, too.",0
13025,"Avenatti is a third rate lawyer who is good at making false accusations, like he did on me and like he is now doing on Judge Brett Kavanaugh. He is just looking for attention and doesn’t want people to look at his past record and relationships - a total low-life!",1
8363,"Join me live in Toledo, Ohio. Time to # DrainTheSwamp & # MAGA! https://www.facebook.com/DonaldTrump/videos/10157991985830725/ …",1
534,VIDEO: President Obama’s plan for creating jobs and strengthening the middle class. http://t.co/YShaaNzK,0
16065,"If the Democrats are going to defend the Radical Left “Squad” and King Elijah’s Baltimore Fail, it will be a long road to 2020. The good news for the Dems is that they have the Fake News Media in their pocket!",1
4113,"Throughout my career, I've been committed to the fight against climate change. And on day one as president, I'll get to work taking the drastic action we need to address this crisis. #EarthDay https://t.co/CTbTiwxI4Y",0
8679,"my presidency. Isn't this a ridiculous shame? He loves these kids, has raised millions of dollars for them, and now must stop. Wrong answer!",1
2428,Donald Trump is the definition of corruption.,0
6144,"Top suspect in Paris massacre, Salah Abdeslam, who also knew of the Brussels attack, is no longer talking. Weak leaders, ridiculous laws!",1
15514,"Rep. Alexandria Ocasio-Cortez. “I think we have a very real risk of losing the Presidency to Donald Trump.” I agree, and that is the only reason they play the impeach card, which cannot be legally used!",1
1133,"A resounding defeat tonight for President Trump. Voters around the country rejected the ugly politics we have seen this past year. Instead, they chose candidates who unite and inspire us.",0
15955,"When an old Wall at the Southern Border, that is crumbling and falling over, built in an important section to keep out problems, is replaced with a brand new 30 foot high steel and concrete Wall, the Media says no new Wall has been built. Fake News! Building lots of Wall!",1
10302,FEMA and first responders are working hard (yet again) on Hurricane Nate. Military helping. Very much under control!,1
13477,"The California Fire Fighters, FEMA and First Responders are amazing and very brave. Thank you and God Bless you all!",1
13861,"Any deaths of children or others at the Border are strictly the fault of the Democrats and their pathetic immigration policies that allow people to make the long trek thinking they can enter our country illegally. They can’t. If we had a Wall, they wouldn’t even try! The two.....",1
10100,Another attack in London by a loser terrorist.These are sick and demented people who were in the sights of Scotland Yard. Must be proactive!,1
16300,"Like it or not, Tlaib and Omar are fast becoming the face of the Democrat Party. Cortez (AOC) is fuming, not happy about this!",1
12018,"Why was the FBI’s sick loser, Peter Strzok, working on the totally discredited Mueller team of 13 Angry & Conflicted Democrats, when Strzok was giving Crooked Hillary a free pass yet telling his lover, lawyer Lisa Page, that “we’ll stop” Trump from becoming President? Witch Hunt!",1
16113,The Radical Left Dems went after me for using the words “drug-infested” concerning Baltimore. Take a look at Elijah C.pic.twitter.com/E08ngbcw3d,1
17654,"Virginia has the best Unemployment and Economic numbers in the history of the State. If the Democrats get in, those numbers will go rapidly in the other direction. On Tuesday, Vote Republican!",1
18384,"Brad Blakeman “I happen to believe as a lawyer that the charges are defective, they don’t meet the Constitutional standard of high crimes and misdemeanors, so I would like to see a Motion to Dismiss. At least 51 Republican Senators would agree with that-there should be no trial.”",1
7435,"The people who support Hillary sit behind CNN anchor chairs, or headline fundraisers - those disconnected from real life.",1
4647,"Today the President shared a video of people shouting “white power” and said they were “great.” Just like he did after Charlottesville. 

We’re in a battle for the soul of the nation — and the President has picked a side. But make no mistake: it’s a battle we will win.",0
2571,"When leaders like Admiral McRaven speak, we should listen. Donald Trump is a threat to our national security — his erratic, impulsive decisions make us all less safe. We cannot give him eight years in the White House. https://t.co/DjAa3seQqf",0
3142,"Before the holidays, Jill walked across the Gateway International Bridge into Matamoros, Mexico, where families are enduring inhumane conditions. Jill witnessed the cruelty of Trump's policies and the resiliency of those risking their lives to seek asylum. https://t.co/3KLjtwEtNE",0
444,VP Biden in WI: “America is coming back. We’re not going back. We’re going forward.”,0
5613,"Think about what it takes for a Black person to love America. 

That is a deep love for this country that, for far too long, we have never recognized. https://t.co/vTEY156VTj",0
15502,"....More and more states want to do this but their governors and leaders don’t have the courage to do so. The politics will soon mandate, however, because people from California, & all over the land, are demanding that Sanctuary Cities be GONE. No illegals, Drugs or Trafficking!",1
13015,Thank you Dr. Jeffress!https://twitter.com/robertjeffress/status/1044608785900277760 …,1
14085,"Former FBI top lawyer James Baker just admitted involvement in FISA Warrant and further admitted there were IRREGULARITIES in the way the Russia probe was handled. They relied heavily on the unverified Trump “Dossier” paid for by the DNC & Clinton Campaign, & funded through a...",1
